2026-04-07 13:30:04 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:05 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:07 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:08 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:09 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:09 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:23 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed all products
2026-04-07 13:30:24 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed all products
2026-04-07 13:30:30 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:30:43 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed products by category: 5
2026-04-07 13:30:44 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed products by category: 3
2026-04-07 13:30:49 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed all products
2026-04-07 13:30:50 | IP: ::1 | User: 456 | Action: VIEW_PRODUCTS | Details: Viewed all products
2026-04-07 13:35:47 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:35:53 | IP: ::1 | User: 456 | Action: LOGOUT | Details: User logged out
2026-04-07 13:36:03 | IP: ::1 | User: Admin | Action: LOGIN | Details: Successful login
2026-04-07 13:36:07 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:36:22 | IP: ::1 | User: Admin | Action: VIEW_DASHBOARD | Details: Admin viewed dashboard
2026-04-07 13:36:32 | IP: ::1 | User: Admin | Action: LOGOUT | Details: User logged out
2026-04-07 13:45:54 | IP: ::1 | User: 123 | Action: VIEW_PRODUCTS | Details: Viewed all products
2026-04-07 13:45:55 | IP: ::1 | User: 123 | Action: LOGOUT | Details: User logged out
2026-04-07 13:46:01 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 13:46:09 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 13:46:12 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 13:46:15 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 13:46:18 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 13:46:24 | IP: 127.0.0.1 | User: guest | Action: LOGIN_FAILED | Details: Failed login attempt for username: su
2026-04-07 14:10:42 | IP: ::1 | User: 123 | Action: LOGIN | Details: Successful login
2026-04-07 14:15:12 | IP: ::1 | User: 123 | Action: LOGIN | Details: Successful login
2026-04-07 14:16:28 | IP: ::1 | User: 456 | Action: LOGIN | Details: Successful login
2026-04-09 16:15:11 | IP: ::1 | User: 123 | Action: LOGIN | Details: Đăng nhập thành công
2026-04-09 16:15:13 | IP: ::1 | User: 123 | Action: VIEW_DASHBOARD | Details: Admin xem bảng điều khển
2026-04-09 16:15:24 | IP: ::1 | User: 123 | Action: VIEW_PRODUCTS | Details: Xem tất cả sản phẩm
2026-04-09 16:15:36 | IP: ::1 | User: 123 | Action: LOGOUT | Details: User logged out
